quantity,value
equilibrium_model,free-boundary-gs
machine_device,parametric_d_shape
machine_config,
geqdsk_input,
diagnostics_constraint,
reconstruction_mode,off
reconstruction_fit_params,"b0_t,plasma_current_ma,beta_percent,q_axis,q_edge,poloidal_field_fraction"
reconstruction_regularization,0.01
reconstruction_rms_error,0.0
reconstruction_max_error,0.0
reconstruction_chi2_reduced,0.0
reconstruction_constraint_count,0
benchmark_geqdsk,
benchmark_lcfs_rms_m,0.0
benchmark_q_rms,0.0
profile_model,power-law
cocos_index,11
psi_sign,1.0
ip_sign,1.0
btor_sign,1.0
export_formats,"profiles,chease,helena,efit"
shape_control,off
shape_control_rms_error,0.0
shape_control_max_error,0.0
shape_control_rank,0
pf_coil_count,2
passive_structure_count,0
limiter_point_count,192
wall_point_count,192
total_abs_pf_current_ma_turn,0.0
n_r,72
n_z,96
minor_radius_m,0.55
elongation,1.65
triangularity,0.18
b_axis_t,2.858082620223596
b_min_t,2.3758896895382855
b_max_t,4.226379193765719
density_axis_1e19_m3,1.0
density_edge_1e19_m3,0.22
pressure_axis_pa,78781.69683048819
beta_percent,2.2
plasma_current_ma,0.75
j_phi_peak_ma_m2,1.4696926404353423
closed_surface_fraction,0.32002314814814814
closed_surface_area_m2,1.385233025203848
magnetic_axis_minor_r_m,0.16954225352112673
magnetic_axis_z_m,0.01385131578947374
psi_lcfs,0.21356382999694296
x_point_count,4
primary_x_point_minor_r_m,0.4860211267605632
primary_x_point_z_m,1.1773618421052634
primary_x_point_psi,0.24037553625666305
strike_point_count,4
primary_strike_point_minor_r_m,-0.5164402762338623
primary_strike_point_z_m,-0.3745316295474879
primary_strike_point_psi_norm,0.999980486797738
separatrix_topology,double-null
lower_strike_point_count,2
upper_strike_point_count,2
divertor_balance,0.0
q_axis,1.05
q_edge,4.0
q_input_axis,1.05
q_input_edge,4.0
q_edge_error,0.0
solver_iterations,446
solver_residual,0.0009974753467418204
solver_converged,1
gs_operator_residual,0.2431440719512387
boundary_relaxation_effective,0.03
