rho_pol,q,pressure_pa,density_1e19_m3
0.0000000000e+00,1.0500000000e+00,7.8781696830e+04,1.0000000000e+00
1.2658227848e-02,1.1611607884e+00,7.8761500603e+04,9.9991251192e-01
2.5316455696e-02,1.2700794206e+00,7.8700923572e+04,9.9965002243e-01
3.7974683544e-02,1.3765783614e+00,7.8600000700e+04,9.9921245576e-01
5.0632911392e-02,1.4805896288e+00,7.8458790283e+04,9.9859968544e-01
6.3291139241e-02,1.5820780198e+00,7.8277373986e+04,9.9781153404e-01
7.5949367089e-02,1.6810254156e+00,7.8055856899e+04,9.9684777280e-01
8.8607594937e-02,1.7774245110e+00,7.7794367602e+04,9.9570812117e-01
1.0126582278e-01,1.8712756281e+00,7.7493058250e+04,9.9439224617e-01
1.1392405063e-01,1.9625848546e+00,7.7152104673e+04,9.9289976170e-01
1.2658227848e-01,2.0513628486e+00,7.6771706490e+04,9.9123022775e-01
1.3924050633e-01,2.1376240181e+00,7.6352087240e+04,9.8938314938e-01
1.5189873418e-01,2.2213859265e+00,7.5893494534e+04,9.8735797568e-01
1.6455696203e-01,2.3026688452e+00,7.5396200220e+04,9.8515409857e-01
1.7721518987e-01,2.3814954043e+00,7.4860500566e+04,9.8277085140e-01
1.8987341772e-01,2.4578903133e+00,7.4286716463e+04,9.8020750748e-01
2.0253164557e-01,2.5318801314e+00,7.3675193650e+04,9.7746327838e-01
2.1518987342e-01,2.6034930762e+00,7.3026302954e+04,9.7453731214e-01
2.2784810127e-01,2.6727588601e+00,7.2340440554e+04,9.7142869123e-01
2.4050632911e-01,2.7397085500e+00,7.1618028266e+04,9.6813643035e-01
2.5316455696e-01,2.8043744436e+00,7.0859513852e+04,9.6465947404e-01
2.6582278481e-01,2.8667899608e+00,7.0065371352e+04,9.6099669404e-01
2.7848101266e-01,2.9269895460e+00,6.9236101443e+04,9.5714688644e-01
2.9113924051e-01,2.9850085808e+00,6.8372231823e+04,9.5310876853e-01
3.0379746835e-01,3.0408833035e+00,6.7474317622e+04,9.4888097542e-01
3.1645569620e-01,3.0946507369e+00,6.6542941852e+04,9.4446205637e-01
3.2911392405e-01,3.1463486201e+00,6.5578715876e+04,9.3985047068e-01
3.4177215190e-01,3.1960153471e+00,6.4582279924e+04,9.3504458337e-01
3.5443037975e-01,3.2436899078e+00,6.3554303633e+04,9.3004266037e-01
3.6708860759e-01,3.2894118345e+00,6.2495486638e+04,9.2484286329e-01
3.7974683544e-01,3.3332211503e+00,6.1406559200e+04,9.1944324373e-01
3.9240506329e-01,3.3751583208e+00,6.0288282874e+04,9.1384173706e-01
4.0506329114e-01,3.4152642090e+00,5.9141451235e+04,9.0803615563e-01
4.1772151899e-01,3.4535800314e+00,5.7966890652e+04,9.0202418131e-01
4.3037974684e-01,3.4901473170e+00,5.6765461116e+04,8.9580335731e-01
4.4303797468e-01,3.5250078676e+00,5.5538057139e+04,8.8937107925e-01
4.5569620253e-01,3.5582037201e+00,5.4285608705e+04,8.8272458528e-01
4.6835443038e-01,3.5897771103e+00,5.3009082314e+04,8.7586094527e-01
4.8101265823e-01,3.6197704377e+00,5.1709482089e+04,8.6877704877e-01
4.9367088608e-01,3.6482262320e+00,5.0387850978e+04,8.6146959181e-01
5.0632911392e-01,3.6751871205e+00,4.9045272055e+04,8.5393506224e-01
5.1898734177e-01,3.7006957965e+00,4.7682869923e+04,8.4616972339e-01
5.3164556962e-01,3.7247949893e+00,4.6301812234e+04,8.3816959600e-01
5.4430379747e-01,3.7475274339e+00,4.4903311345e+04,8.2993043792e-01
5.5696202532e-01,3.7689358426e+00,4.3488626113e+04,8.2144772147e-01
5.6962025316e-01,3.7890628773e+00,4.2059063853e+04,8.1271660804e-01
5.8227848101e-01,3.8079511216e+00,4.0615982480e+04,8.0373191943e-01
5.9493670886e-01,3.8256430547e+00,3.9160792849e+04,7.9448810554e-01
6.0759493671e-01,3.8421810255e+00,3.7694961329e+04,7.8497920767e-01
6.2025316456e-01,3.8576072267e+00,3.6220012631e+04,7.7519881684e-01
6.3291139241e-01,3.8719636707e+00,3.4737532936e+04,7.6514002609e-01
6.4556962025e-01,3.8852921649e+00,3.3249173355e+04,7.5479537584e-01
6.5822784810e-01,3.8976342879e+00,3.1756653772e+04,7.4415679081e-01
6.7088607595e-01,3.9090313666e+00,3.0261767141e+04,7.3321550704e-01
6.8354430380e-01,3.9195244527e+00,2.8766384288e+04,7.2196198684e-01
6.9620253165e-01,3.9291543009e+00,2.7272459316e+04,7.1038581922e-01
7.0886075949e-01,3.9379613465e+00,2.5782035714e+04,6.9847560257e-01
7.2151898734e-01,3.9459856836e+00,2.4297253295e+04,6.8621880549e-01
7.3417721519e-01,3.9532670442e+00,2.2820356121e+04,6.7360160044e-01
7.4683544304e-01,3.9598447769e+00,2.1353701611e+04,6.6060866359e-01
7.5949367089e-01,3.9657578262e+00,1.9899771076e+04,6.4722293151e-01
7.7215189873e-01,3.9710447125e+00,1.8461181995e+04,6.3342530306e-01
7.8481012658e-01,3.9757435118e+00,1.7040702437e+04,6.1919426988e-01
7.9746835443e-01,3.9798918360e+00,1.5641268157e+04,6.0450545347e-01
8.1012658228e-01,3.9835268133e+00,1.4266003061e+04,5.8933101745e-01
8.2278481013e-01,3.9866850691e+00,1.2918243989e+04,5.7363891084e-01
8.3544303797e-01,3.9894027072e+00,1.1601571094e+04,5.5739187754e-01
8.4810126582e-01,3.9917152906e+00,1.0319845641e+04,5.4054613606e-01
8.6075949367e-01,3.9936578234e+00,9.0772578090e+03,5.2304958165e-01
8.7341772152e-01,3.9952647322e+00,7.8783883204e+03,5.0483927760e-01
8.8607594937e-01,3.9965698486e+00,6.7282897061e+03,4.8583785215e-01
8.9873417722e-01,3.9976063903e+00,5.6325963852e+03,4.6594814260e-01
9.1139240506e-01,3.9984069447e+00,4.5976786998e+03,4.4504489516e-01
9.2405063291e-01,3.9990034502e+00,3.6308673255e+03,4.2296121857e-01
9.3670886076e-01,3.9994271798e+00,2.7407974067e+03,3.9946496537e-01
9.4936708861e-01,3.9997087237e+00,1.9379732489e+03,3.7421377678e-01
9.6202531646e-01,3.9998779722e+00,1.2357862624e+03,3.4665832545e-01
9.7468354430e-01,3.9999640989e+00,6.5262843021e+02,3.1579104051e-01
9.8734177215e-01,3.9999955446e+00,2.1749940955e+02,2.7923064085e-01
1.0000000000e+00,4.0000000000e+00,0.0000000000e+00,2.2000000000e-01
